year,cls,service,n,p10,p25,median,p75,p90
2024-25,SC,adult_social_care,21,370.67,376.42,439.93,452.78,480.26
2024-25,SC,central,21,10.10,11.90,23.23,32.40,40.55
2024-25,SC,children_social_care,21,185.68,200.07,225.53,240.14,250.96
2024-25,SC,cultural,21,11.44,14.28,16.66,18.05,19.31
2024-25,SC,development_control,21,-0.44,0.14,0.44,1.26,1.52
2024-25,SC,education,21,553.87,570.16,640.20,702.84,811.12
2024-25,SC,environmental_regulatory,21,39.38,42.84,53.48,67.36,73.00
2024-25,SC,fire_rescue,21,0.00,0.00,0.00,42.23,45.48
2024-25,SC,highways_transport,21,48.50,53.31,62.19,73.58,77.61
2024-25,SC,housing_gfra,21,0.00,0.07,3.35,5.84,6.73
2024-25,SC,libraries,21,7.99,8.61,10.34,12.71,14.55
2024-25,SC,other,21,0.00,0.00,0.00,0.00,8.43
2024-25,SC,planning_development,21,-3.23,3.41,5.88,10.94,15.47
2024-25,SC,police,21,0.00,0.00,0.00,0.00,0.00
2024-25,SC,public_health,21,44.75,46.41,50.30,55.06,66.16
2024-25,SC,recycling,21,0.00,4.63,9.15,12.43,21.29
2024-25,SC,refuse_and_recycling,21,0.00,4.63,9.26,14.97,21.29
2024-25,SC,street_cleansing,21,0.00,0.00,0.00,0.00,0.28
2024-25,SC,total_service_expenditure,21,1323.16,1413.24,1562.59,1672.39,1780.84
2024-25,SC,waste_collection,21,0.00,0.00,0.00,0.00,0.00
2024-25,SC,waste_disposal,21,19.53,29.36,39.70,49.62,65.34
2024-25,SD,adult_social_care,164,0.00,0.00,0.00,0.00,0.30
2024-25,SD,central,164,24.84,32.57,43.26,54.72,74.65
2024-25,SD,children_social_care,164,0.00,0.00,0.00,0.00,0.00
2024-25,SD,cultural,164,5.29,14.40,20.41,30.02,40.35
2024-25,SD,development_control,164,0.95,4.13,6.58,10.38,13.87
2024-25,SD,education,164,0.00,0.00,0.00,0.00,0.00
2024-25,SD,environmental_regulatory,164,35.69,42.80,53.07,61.78,73.35
2024-25,SD,fire_rescue,164,0.00,0.00,0.00,0.00,0.00
2024-25,SD,highways_transport,164,-23.16,-11.48,-3.92,0.55,3.18
2024-25,SD,housing_gfra,164,8.93,16.07,20.79,31.89,48.23
2024-25,SD,libraries,164,0.00,0.00,0.00,0.00,0.00
2024-25,SD,other,164,0.00,0.00,0.00,0.00,3.87
2024-25,SD,planning_development,164,6.77,15.21,24.06,33.45,43.53
2024-25,SD,police,164,0.00,0.00,0.00,0.00,0.00
2024-25,SD,public_health,164,0.00,0.00,0.00,0.00,0.77
2024-25,SD,recycling,164,-0.50,0.00,8.50,13.50,18.73
2024-25,SD,refuse_and_recycling,164,16.99,21.28,26.46,33.61,39.77
2024-25,SD,street_cleansing,164,3.93,7.07,10.38,13.50,17.35
2024-25,SD,total_service_expenditure,164,122.72,142.80,165.88,187.50,209.78
2024-25,SD,waste_collection,164,8.59,12.11,17.32,24.65,35.75
2024-25,SD,waste_disposal,164,0.00,0.00,0.00,0.00,0.00
2024-25,UA,adult_social_care,61,367.65,392.01,444.50,480.87,506.06
2024-25,UA,central,61,20.65,37.17,52.37,66.27,82.35
2024-25,UA,children_social_care,61,205.68,236.51,268.07,336.30,396.72
2024-25,UA,cultural,61,16.87,28.70,39.15,53.58,75.16
2024-25,UA,development_control,61,-0.12,1.47,4.62,7.14,10.57
2024-25,UA,education,61,466.46,514.31,664.39,767.41,886.75
2024-25,UA,environmental_regulatory,61,77.82,92.58,101.91,118.82,139.55
2024-25,UA,fire_rescue,61,0.00,0.00,0.00,0.00,0.00
2024-25,UA,highways_transport,61,11.65,32.04,48.96,69.60,87.81
2024-25,UA,housing_gfra,61,19.56,25.44,35.96,52.28,75.38
2024-25,UA,libraries,61,6.44,8.17,10.39,13.16,15.19
2024-25,UA,other,61,0.00,0.00,0.00,8.65,20.18
2024-25,UA,planning_development,61,7.71,16.65,26.55,37.53,44.02
2024-25,UA,police,61,0.00,0.00,0.00,0.00,0.00
2024-25,UA,public_health,61,41.85,47.17,64.05,94.48,114.11
2024-25,UA,recycling,61,0.35,5.21,10.59,18.17,25.16
2024-25,UA,refuse_and_recycling,61,21.02,28.78,34.10,42.03,47.03
2024-25,UA,street_cleansing,61,6.61,8.91,11.44,16.98,24.79
2024-25,UA,total_service_expenditure,61,1562.01,1600.54,1777.62,1935.48,2102.70
2024-25,UA,waste_collection,61,11.34,14.34,22.71,32.22,40.19
2024-25,UA,waste_disposal,61,21.31,30.82,40.21,49.80,62.44
