service,service_label,ons_code,name,cls,cls_label,real_per_head_2013_14,real_per_head_2024_25,change_pct
children_social_care,Children's social care,E06000036,Bracknell Forest UA,UA,Unitary,152.57,265.73,74.2
children_social_care,Children's social care,E06000033,Southend-on-Sea UA,UA,Unitary,167.7,293.7,75.1
children_social_care,Children's social care,E06000023,Bristol UA,UA,Unitary,176.37,310.34,76.0
children_social_care,Children's social care,E06000030,Swindon UA,UA,Unitary,160.97,284.73,76.9
children_social_care,Children's social care,E08000029,Solihull,MD,Met district,195.93,346.67,76.9
children_social_care,Children's social care,E08000022,North Tyneside,MD,Met district,164.2,291.67,77.6
children_social_care,Children's social care,E08000001,Bolton,MD,Met district,167.79,299.45,78.5
children_social_care,Children's social care,E08000016,Barnsley,MD,Met district,179.98,326.96,81.7
children_social_care,Children's social care,E06000007,Warrington UA,UA,Unitary,144.26,262.35,81.9
children_social_care,Children's social care,E09000006,Bromley,LB,London borough,138.17,256.94,86.0
children_social_care,Children's social care,E10000034,Worcestershire CC,SC,Shire county,122.96,229.94,87.0
children_social_care,Children's social care,E08000010,Wigan MBC,MD,Met district,149.99,282.86,88.6
children_social_care,Children's social care,E06000012,North East Lincolnshire UA,UA,Unitary,207.18,391.77,89.1
children_social_care,Children's social care,E09000027,Richmond upon Thames,LB,London borough,139.21,263.41,89.2
children_social_care,Children's social care,E10000014,Hampshire CC,SC,Shire county,114.6,217.66,89.9
children_social_care,Children's social care,E06000011,East Riding of Yorkshire UA,UA,Unitary,114.06,216.67,90.0
children_social_care,Children's social care,E08000007,Stockport MBC,MD,Met district,130.98,249.29,90.3
children_social_care,Children's social care,E08000011,Knowsley,MD,Met district,194.61,373.94,92.1
children_social_care,Children's social care,E06000006,Halton UA,UA,Unitary,249.6,481.93,93.1
children_social_care,Children's social care,E10000032,West Sussex CC,SC,Shire county,123.03,240.14,95.2
children_social_care,Children's social care,E08000012,Liverpool,MD,Met district,196.64,386.31,96.5
children_social_care,Children's social care,E08000004,Oldham,MD,Met district,174.86,343.66,96.5
children_social_care,Children's social care,E06000022,Bath & North East Somerset UA,UA,Unitary,118.05,236.51,100.3
children_social_care,Children's social care,E10000007,Derbyshire CC,SC,Shire county,118.8,239.69,101.8
children_social_care,Children's social care,E10000025,Oxfordshire CC,SC,Shire county,105.98,216.51,104.3
children_social_care,Children's social care,E06000009,Blackpool UA,UA,Unitary,292.23,598.75,104.9
children_social_care,Children's social care,E06000047,Durham UA,UA,Unitary,141.33,291.56,106.3
children_social_care,Children's social care,E08000013,St Helens MBC,MD,Met district,187.85,388.65,106.9
children_social_care,Children's social care,E06000051,Shropshire UA,UA,Unitary,116.19,243.97,110.0
children_social_care,Children's social care,E10000011,East Sussex CC,SC,Shire county,130.77,278.77,113.2
children_social_care,Children's social care,E06000024,North Somerset UA,UA,Unitary,123.24,263.53,113.8
children_social_care,Children's social care,E10000018,Leicestershire CC,SC,Shire county,87.13,188.23,116.0
children_social_care,Children's social care,E06000019,Herefordshire UA,UA,Unitary,164.05,355.79,116.9
children_social_care,Children's social care,E06000021,Stoke-on-Trent UA,UA,Unitary,208.44,466.68,123.9
children_social_care,Children's social care,E08000014,Sefton,MD,Met district,157.99,374.32,136.9
children_social_care,Children's social care,E08000032,Bradford,MD,Met district,192.26,455.87,137.1
children_social_care,Children's social care,E06000025,South Gloucestershire UA,UA,Unitary,85.32,205.42,140.8
children_social_care,Children's social care,E06000003,Redcar & Cleveland UA,UA,Unitary,184.9,446.44,141.5
children_social_care,Children's social care,E10000013,Gloucestershire CC,SC,Shire county,109.07,264.02,142.1
children_social_care,Children's social care,E06000001,Hartlepool UA,UA,Unitary,203.53,502.7,147.0
children_social_care,Children's social care,E08000008,Tameside,MD,Met district,173.26,452.65,161.3
