firm,supplier_raw,category,scope,txns,gbp
PwC,PriceWaterhouseCoopers (KENYA2),consulting,overseas_member,2,16898.95
Michael Page,Michael Page UK Ltd,agency_staff,uk,37,15395.03
KPMG,KPMG AUDITORES E CONSULTORES,consulting,overseas_member,2,14037.66
PwC,PricewaterhouseCoopers Ltd.,consulting,uk,2,12617.73
KPMG,KPMG GHANA,consulting,overseas_member,1,11615.0
KPMG,KPMG Advisory N.V.,consulting,overseas_member,1,11476.0
EY,Ernst & Young South Sudan,consulting,overseas_member,1,10534.3
KPMG,KPMG YON. DANISMANLIGI,consulting,overseas_member,3,10284.0
KPMG,KPMG Zambia Limited,consulting,overseas_member,1,9094.69
Reed,REEDLEARNING.CO.UK,agency_staff,uk,12,8955.2
Reed,REED LEARNING PLC,agency_staff,uk,8,8790.31
PwC,PriceWaterHouseCoopers,consulting,uk,1,8354.24
Deloitte,Deloitte & Touche Zambia,consulting,overseas_member,1,8226.87
PwC,Price Waterhouse,consulting,uk,1,7902.0
Reed,REED ONLINE LIMITED,agency_staff,uk,1,7829.38
Deloitte,DELOITTE KOSOVA SHPK,consulting,overseas_member,8,6598.69
PwC,PricewaterhouseCoopers inc,consulting,overseas_member,5,6461.8
Hays,HAYS ACCOUNTANCY AND FINANCE,agency_staff,uk,1,4700.0
Manpower,Manpower UK Ltd,agency_staff,uk,1,4647.0
Hays,HAYS ACCOUNTANCY PERSONNEL,agency_staff,uk,3,4420.0
Michael Page,MICHAEL PAGE INTERNATIONAL RECRUITMENT,agency_staff,uk,1,4242.43
Reed,WWW.REEDLEARNING.C,agency_staff,uk,4,3910.6
