bucket,supplier_raw,n_txn,gbp_total,n_publishers,a_publisher
giraffe,Giraffe Access Ltd,6,2940.0,1,Bristol City Council
giraffe,Giraffe Engineering Ltd,6,10940.0,1,Bristol City Council
falconry,Gmg Falconry,3,1050.0,1,Rushmoor Borough Council
dolphin,Godolphin Infant School,241,10805144.89,1,Department for Education
dolphin,Godolphin Junior Academy,60,7711514.38,1,Department for Education
dolphin,Godolphin Junior School,28,1426790.62,1,Department for Education
dolphin,Godolphin Primary School,8,155207.12,1,Department for Education
sheep,Good Shepherd Catholic Primary and Nursery School,67,4239988.56,1,Department for Education
sheep,Good Shepherd Catholic School,56,3555819.91,1,Department for Education
sheep,Good Shepherd Primary Catholic Voluntary Academy,62,6516937.45,1,Department for Education
archery,Grand National Archery Society,62,3306290.0,1,UK Sport
swan,Gray Swan Security Inc,2,702730.0,1,"Department for Science, Innovation and Technology"
allotment,Great Chesterford Allotment Association,1,800.0,1,Uttlesford District Council
santa,Great Grottos Limited,1,1800.0,1,Bristol City Council
toilet,Griffin Toilet Hire Ltd,2,1800.0,1,Bristol City Council
puppet,HANDSPRING PUPPET COMPANY,1,16200.0,1,Royal Borough of Greenwich
allotment,HARLOW HILL ALLOTMENT ASSOCI,1,1439.49,1,North Yorkshire Council
owl,HAWK AND OWL TRUST,4,65595.78,1,"Ministry of Housing, Communities and Local Government"
pest,HEATH PEST CONTROL,1,704.64,1,"Department for Environment, Food and Rural Affairs"
hippo,HIPPO DIGITAL LIMITED,172,8322507.25,1,NHS Business Services Authority
hippo,HIPPO DIGITAL LTD,322,38523178.98,3,Department for Education
hippo,HIPPO FRANKLIN,1,44.25,1,Natural History Museum
bees,HONEY BEE CAR RENTALS,2,1730.22,1,Foreign and Commonwealth Office
bees,HONEY BEES LIMITED,2,960.3,1,Blaby District Council
sheep,HOWARD SHEPHERD (UK) LIMITED,4,214142.64,1,Ministry of Defence
brass_band,HUNMNABY BRASS BAND,1,925.0,1,North Yorkshire Council
swan,Hanley Swan St Gabriel's St Mary's CofE Primary,50,1423304.92,1,Department for Education
sheep,Hannah Shepherd,3,2561.47,1,Rushmoor Borough Council
owl,Hawk & Owl Trust,1,2083.2,1,South Gloucestershire Council
disco,Headphone Revolution Ltd t/a Silent Disco King,1,11597.41,1,Bristol City Council
lighthouse,Horfield Church of England Primary School (Lighthouse Schools Partnership),4,69610.3,1,Bristol City Council
bees,IN  BEE FLAT LLC,5,12536.21,1,"Foreign, Commonwealth and Development Office (FCDO)"
pest,INSECTA PEST CONTROL,13,10549.15,1,Foreign and Commonwealth Office
pest,INT. PEST CONTROL,7,6419.86,1,"Foreign, Commonwealth and Development Office (FCDO)"
alpaca,ISABEL LANGDON T/A ALPACA SELECT,1,1250.0,1,UK Trade and Investment
santa,ITV TEXT SANTA LTD,2,550000.0,1,Cabinet Office
llama,IZI EL TALLER SE LLAMA,1,932.52,1,"Foreign, Commonwealth and Development Office (FCDO)"
elvis,IZI ELVIS ZARATE,2,1453.14,1,"Foreign, Commonwealth and Development Office (FCDO)"
jellyfish,JELLYFISH GROUP LTD,1,827.1,1,"Foreign, Commonwealth and Development Office (FCDO)"
sheep,JENNONS LTD T/A LITTLE GREEN SHEEP,2,2554.27,1,UK Trade and Investment
sheep,JENNONS LTD T/A THE LITTLE GREEN SHEEP COMPANY,3,1000.0,1,UK Trade and Investment
pest,JONES & SON PEST CONTROL SUPPLIES LTD,2,1500.0,1,UK Trade and Investment
swan,JOSEPH SWAN ACADEMY,59,9431277.85,1,Department for Education
swan,JOSEPH SWAN SCHOOL,3,235026.0,1,Department for Education
camel,JOSEPH`S AMAZING CAMELS LIMITED,2,3180.0,1,Royal Borough of Greenwich
sheep,JShepherd,1,9239.53,1,Department for International Development
circus,Jack In A Box Circus Entertainment,1,450.0,1,Rushmoor Borough Council
