expense_area,n_txn,gbp_total,n_publishers,a_publisher
Admiral Nurse,1198,57215.1,1,Shropshire Community Health NHS Trust
Admiral Nurses Shropshire,156,9566.27,1,Shropshire Community Health NHS Trust
Admiral Nurses Telford,72,4025.2,1,Shropshire Community Health NHS Trust
Admiralty Nautical P,1,25771.0,1,Ministry of Defence
Admiralty Nautical Products,5,304403.0,1,Ministry of Defence
Admiralty Vector Chart Service Programme,8,953172.36,1,Ministry of Defence
"Admissions, Academies Portfolio and School Organisation",32,1974613.0,1,Department for Education
Adolescent Services,10,564305.65,1,Coventry and Warwickshire Partnership NHS Trust
Adoption Pay,13,-31192.25,1,The Pennine Acute Hospitals NHS Trust
Adoption and Children in Care Division,4457,398008143.54,1,Department for Education
Adult & Community Services,900,3914130.46,1,London Borough of Richmond Upon Thames
Adult (Learning),1,44753.08,1,Tate
Adult Community Therapy Central,938,37952.3,1,Shropshire Community Health NHS Trust
Adult Community Therapy Management and Admin,22,209.33,1,Shropshire Community Health NHS Trust
Adult Community Therapy North East,678,32087.9,1,Shropshire Community Health NHS Trust
Adult Community Therapy North West,640,20586.53,1,Shropshire Community Health NHS Trust
Adult Community Therapy South East,809,127072.66,1,Shropshire Community Health NHS Trust
Adult Community Therapy South West,574,54959.45,1,Shropshire Community Health NHS Trust
Adult Diabetes Specialist,21,1062.24,1,Shropshire Community Health NHS Trust
Adult LD - Fiveways PCT,20,948325.58,1,South Gloucestershire Council
Adult LD - Thornbury,1,75.15,1,South Gloucestershire Council
Adult LD - Thornbury PCT,33,161762.43,1,South Gloucestershire Council
Adult Learning Difficulties -,1,186.57,1,South Gloucestershire Council
Adult Learning Difficulties - Kingswood,9,8722.38,1,South Gloucestershire Council
Adult Mental Health Management,4,154342.75,1,Coventry and Warwickshire Partnership NHS Trust
Adult Placement Scheme,6,8171.94,1,South Gloucestershire Council
Adult Social Care,8612,803351551.77,2,Department of Health and Social Care
Adult Social Care Property,24,26772.25,1,Plymouth City Council
Adult and Older People,54446,189186022.94,1,Royal Borough of Greenwich
Adults Facing Chronic Exclusion V DEL CG,38,2974365.0,1,"Ministry of Housing, Communities and Local Government"
Adults SDG Management,303,79382.1,1,Shropshire Community Health NHS Trust
Advance Design Fees,7,30468.46,1,South Gloucestershire Council
Advance Purchasing of Freezers (Traded S,40,111831.41,1,South Gloucestershire Council
Advanced Care Planning - Shropshire,78,3820.71,1,Shropshire Community Health NHS Trust
Advanced Care Planning - Telford,460,6044.44,1,Shropshire Community Health NHS Trust
Advanced Pay,4,116000.0,1,The Pennine Acute Hospitals NHS Trust
Advertising,2,127.51,1,Ministry of Defence
Advertising Media,8,721993.18,1,Home Office
Advertising and Media,1,67323.04,1,"Department for Environment, Food and Rural Affairs"
Advice Services,4,33128.0,1,South Gloucestershire Council
Africa Directorate,151,1468813.51,1,Department for International Development
Africa Regional Department,428,38559303.65,1,Department for International Development
Agency Staff,3,99207.0,1,Ministry of Defence
Agency advice re: relocation options for AHDb,1,25000.0,1,"Department for Environment, Food and Rural Affairs"
Aim Project,5,227148.9,1,National Offender Management Service
Aimhigher 10/11 - Central,2,2892.0,1,South Gloucestershire Council
Aimhigher 10/11 - Schools,1,10750.0,1,South Gloucestershire Council
Aiming High for Disabled Children (AHDC),8,57045.0,1,South Gloucestershire Council
Air Command,32744,1857111253.1,1,Ministry of Defence
Air Travel Overseas,2,15833.05,1,Ministry of Defence
Air travel UK,1,22.73,1,Ministry of Defence
"Airport parking, Local council parking, Private owned car parks, Other parking",8,31493.1,1,Home Office
Albrighton Medical Practice,65,64242.95,1,Shropshire Community Health NHS Trust
Alexander Hosea Primary,1,4070.0,1,South Gloucestershire Council
Alexandra Way,65,86828.37,1,South Gloucestershire Council
All,53,6474601.09,2,"Department for Environment, Food and Rural Affairs"
All (except Bridgewood House),4,498355.5,1,National Offender Management Service
All (except aprroved premises),8,427704.85,1,National Offender Management Service
All (ezxcept aprroved premises),1,55372.83,1,National Offender Management Service
All (operational personnel),3,162264.79,1,National Offender Management Service
All Areas,5,1411839.93,1,National Offender Management Service
All Directorates,3,474070.29,1,Salisbury NHS Foundation Trust
All London Probation,368,76526679.86,1,National Offender Management Service
All Services,86,56609.65,1,Rushmoor Borough Council
All Staff,9,2446494.67,1,National Offender Management Service
All Wales,2,345110.45,1,National Offender Management Service
All areas,30,2034014.68,1,National Offender Management Service
All areas (execpt AP),1,47733.67,1,National Offender Management Service
Allotments,1,3594.0,1,South Gloucestershire Council
Almondsbury CE VC Primary,6,45981.17,1,South Gloucestershire Council
Almondsbury Depot,18,24158.37,1,South Gloucestershire Council
Altcourse,110,110128057.54,1,National Offender Management Service
Ambulance Emergency Serv,67,2174088.73,1,Isle of Wight NHS Trust
Ambulance Headquarters,6,221925.85,1,Isle of Wight NHS Trust
Anaesthetic Machines,2,108876.84,1,Milton Keynes Hospital NHS Foundation Trust
Anaesthetic Triumvirate,2,36806.3,1,Milton Keynes Hospital NHS Foundation Trust
Anaesthetics,2,65900.0,1,Portsmouth Hospital NHS Trust
Anaesthetics - Med Staff,2,22610.53,1,Milton Keynes Hospital NHS Foundation Trust
Anaesthetics Med Staff,2,63267.6,1,Milton Keynes Hospital NHS Foundation Trust
Anaesthetics Medics (Old/Roch),2,65921.08,1,The Pennine Acute Hospitals NHS Trust
Anaesthetists,1,41782.36,1,Isle of Wight NHS Trust
Analysis,130,10754862.97,1,Department for Education
Analytics Team,18,1118325.0,1,Portsmouth Hospital NHS Trust
Angiography Unit,9,270206.4,1,Milton Keynes Hospital NHS Foundation Trust
Anglian,1,86615.5,1,"Department for Environment, Food and Rural Affairs"
Anglian & Midlands Construction work in progress,2,1559400.55,1,"Department for Environment, Food and Rural Affairs"
Anglian & North East construction work in progress,1,871323.75,1,"Department for Environment, Food and Rural Affairs"
Anglian & North West,1,25073.62,1,"Department for Environment, Food and Rural Affairs"
Anglian & South East construction work in progress,4,435061.66,1,"Department for Environment, Food and Rural Affairs"
Anglian & Thames - Environmental Monitoring,1,36204.0,1,"Department for Environment, Food and Rural Affairs"
Anglian - Capital,7,776888.55,1,"Department for Environment, Food and Rural Affairs"
Anglian - Construction Work in Progress,3,168228.11,1,"Department for Environment, Food and Rural Affairs"
Anglian - Construction Work in progress,10,1380289.03,1,"Department for Environment, Food and Rural Affairs"
Anglian - Flood Risk,1,54540.24,1,"Department for Environment, Food and Rural Affairs"
Anglian - Flood Risk Management,3,157671.49,1,"Department for Environment, Food and Rural Affairs"
Anglian - Monitoring,1,106586.21,1,"Department for Environment, Food and Rural Affairs"
Anglian - Ops Delivery,5,405499.4,1,"Department for Environment, Food and Rural Affairs"
Anglian - Ops Delivery & Flood Risk,4,582073.0,1,"Department for Environment, Food and Rural Affairs"
Anglian - Various,7,359993.86,1,"Department for Environment, Food and Rural Affairs"
Anglian Capital,1,1501462.08,1,"Department for Environment, Food and Rural Affairs"
Anglian Capital - Ouse Washes,1,554608.92,1,"Department for Environment, Food and Rural Affairs"
Anglian Capital WiP,59,9585463.63,1,"Department for Environment, Food and Rural Affairs"
Anglian Capital WiP & Ops Delivery,1,193115.29,1,"Department for Environment, Food and Rural Affairs"
Anglian Capital WiP |,9,4416291.01,1,"Department for Environment, Food and Rural Affairs"
Anglian Central-AEM - Bedford,2,69579.6,1,"Department for Environment, Food and Rural Affairs"
Anglian Central-AEM - Bedford | South West Capital WiP | Anglian Regional Flood Programme Manager,1,40147.5,1,"Department for Environment, Food and Rural Affairs"
Anglian Central-Ops Delivery,4,129492.94,1,"Department for Environment, Food and Rural Affairs"
Anglian Construction WiP,6,465302.63,1,"Department for Environment, Food and Rural Affairs"
Anglian Eastern - Flood Risk,2,80580.44,1,"Department for Environment, Food and Rural Affairs"
Anglian Eastern-AEM - Monitoring,3,210935.17,1,"Department for Environment, Food and Rural Affairs"
Anglian Eastern-Ops Del (Norfolk & Suffolk),1,36253.75,1,"Department for Environment, Food and Rural Affairs"
Anglian Environmental Management,1,26790.0,1,"Department for Environment, Food and Rural Affairs"
Anglian Flood Risk & Capital,1,28939.6,1,"Department for Environment, Food and Rural Affairs"
Anglian Flood Risk Management,1,25119.29,1,"Department for Environment, Food and Rural Affairs"
Anglian Northern-AEM - Northampton/Kettering,4,151073.22,1,"Department for Environment, Food and Rural Affairs"
Anglian Operations Delivery,1,36542.5,1,"Department for Environment, Food and Rural Affairs"
Anglian Ops Delivery,1,61680.0,1,"Department for Environment, Food and Rural Affairs"
Anglian Ops Delivery & Capital Work in Progress,3,199496.05,1,"Department for Environment, Food and Rural Affairs"
Anglian Ops Delivery & Environmental Monitoring,1,57106.0,1,"Department for Environment, Food and Rural Affairs"
Anglian Region,1,30000.71,1,"Department for Environment, Food and Rural Affairs"
Anglian Region Environmental Management,1,39790.2,1,"Department for Environment, Food and Rural Affairs"
Anglian Region Work in Progress,1,78814.46,1,"Department for Environment, Food and Rural Affairs"
Anglian Regional Facilities | FM Operating Unit - Northern,1,31500.0,1,"Department for Environment, Food and Rural Affairs"
Anglian Regional Flood Programme Manager,1,40255.5,1,"Department for Environment, Food and Rural Affairs"
Anglian Strategic Env Planning Mgr,2,73629.05,1,"Department for Environment, Food and Rural Affairs"
Anglian construction work in progress,2,534777.53,1,"Department for Environment, Food and Rural Affairs"
"Anglian, North West, South West - Various",1,309083.59,1,"Department for Environment, Food and Rural Affairs"
Anglian-Operations Delivery,1,36893.83,1,"Department for Environment, Food and Rural Affairs"
Animal Material & Supplies,6,871942.86,1,Home Office
Animal Services Unit,1,10396.0,1,Veterinary Laboratories Agency
Annual subs 11/12,1,30837.0,1,National Offender Management Service
Anti Coagulation (North),3,167177.94,1,The Pennine Acute Hospitals NHS Trust
Anti Money Laundering Supervision,1,587.52,1,HM Revenue and Customs
Anti-Ligature Doors,10,388469.6,1,Coventry and Warwickshire Partnership NHS Trust
Anti-Ligature St Michaels,22,2175489.05,1,Coventry and Warwickshire Partnership NHS Trust
Anti-Ligature Works,30,1730094.85,1,Coventry and Warwickshire Partnership NHS Trust
Anti-Money Laudering Supervision,1,602.38,1,HM Revenue and Customs
Anti-Money Laundering Supervision,15,6300.05,1,HM Revenue and Customs
Anticipated Corporate NMET,3,271.9,1,Shropshire Community Health NHS Trust
Antisocial Behaviour,1,580.0,1,South Gloucestershire Council
Antisocial Behaviour (LAA Stretch),10,39222.66,1,South Gloucestershire Council
Apex,1,65766.85,1,Isle of Wight NHS Trust
Appleby Fair,2,34871.52,1,Eden District Council
Applications - Comm,19,225867.62,1,South Gloucestershire Council
Applications - Discr,16,85881.65,1,South Gloucestershire Council
Applications Services Recharged,4,42111.16,1,South Gloucestershire Council
Apprenticeship Group,7,132911159.0,1,Department for Education
Apprenticeship Levy Recharge,4,743903.0,1,The Pennine Acute Hospitals NHS Trust
Apprenticeships Group,40858,3115090064.08,1,Department for Education
Apprenticeships and Delivery Services Team,230,20155458.84,1,Department for Education
Apprenticeships group,4,282600.0,1,Department for Education
Approved Prem/Commercial Properties Dec 2010,1,165434.5,1,National Offender Management Service
Approved Premises,58,5913725.61,1,National Offender Management Service
Approved Premises April - July,1,32700.0,1,National Offender Management Service
Approved Premises Recharge,1,27800.0,1,National Offender Management Service
Approved Premises recharge,14,389200.0,1,National Offender Management Service
Approved Premuises,1,43391.67,1,National Offender Management Service
Approved premises recharge,2,55600.0,1,National Offender Management Service
April IT Recharge,1,18193.01,1,National Offender Management Service
Aquatic Health & Hygiene,26,1112595.86,1,"Department for Environment, Food and Rural Affairs"
Arboricultural Service,186,194792.0,1,South Gloucestershire Council
Architecture + heritage progs,24,1362391.12,1,"Department for Digital, Culture, Media and Sport"
Archives and Records,7,132066.5,1,South Gloucestershire Council
Archiving,1,28920.0,1,National Offender Management Service
Archiving & Storage,68,52728.98,1,Shropshire Community Health NHS Trust
Archiving of paper files onto disc,1,42000.0,1,National Offender Management Service
Area - IT Recharges Jan10 - Aug 10,2,416059.36,1,National Offender Management Service
Area 1,2,3940.0,1,South Gloucestershire Council
Area 3,6,1749.44,1,South Gloucestershire Council
Area Based Grant (LA),7982,6343347881.61,1,"Ministry of Housing, Communities and Local Government"
Area Environment Management - Merseyside,2,115233.6,1,"Department for Environment, Food and Rural Affairs"
Area Environmental Monitoring,1,40000.0,1,"Department for Environment, Food and Rural Affairs"
Area Maintenance Gangs,1,500.0,1,South Gloucestershire Council
Area Services,19,1823152.1,1,National Offender Management Service
Area estates recharge Apr-Sept,1,566663.0,1,National Offender Management Service
Area estates recharge Nov,1,94443.83,1,National Offender Management Service
Area estates recharge Oct,1,94443.83,1,National Offender Management Service
Area wide,59,13156692.12,1,National Offender Management Service
Army,1,40012.0,1,National Offender Management Service
Army Command,1327,182719846.29,1,Ministry of Defence
Army TLB,7416,915518381.72,1,Ministry of Defence
Artist Rooms,2,67928.0,1,Tate
Arts Activities & Projects,7,12885.0,1,South Gloucestershire Council
Arts Support in Culture Team,3,694034.75,1,"Department for Digital, Culture, Media and Sport"
Arts and Leisure,8,12940.24,1,Eden District Council
Aseptic Suite,3,134126.99,1,Milton Keynes Hospital NHS Foundation Trust
Ashfield,32,60475591.63,1,National Offender Management Service
Ashwell,2,50348.92,1,National Offender Management Service
Asia  Caribbean and Overseas Territories,22673,5559306088.15,1,Department for International Development
Asia Directors Office,61,35729.8,1,Department for International Development
Asia Division,1390,647862182.02,1,Department for International Development
Asia Division London,106,577198.79,1,Department for International Development
"Asia, Caribbean and Overseas Territories",7568,1902823954.53,1,Department for International Development
Askham Grange,15,577959.15,1,National Offender Management Service
Aspiration  - Olympic,39,1617317.0,1,UK Sport
Aspiration - Paralympic,12,618113.0,1,UK Sport
Assertive In-Reach Project,2,27516.0,1,South Gloucestershire Council
Assessment Team,3,30841.65,1,South Gloucestershire Council
Assessment and Curriculum and General Qualifications Group,267,186714098.18,1,Department for Education
"Assessment, Curriculum and General Qualifications Group",195,142452471.7,1,Department for Education
Asset Clearing,3,32384.06,1,Home Office
Asset Management,1,28296.41,1,"Department for Environment, Food and Rural Affairs"
Asset Management Manager,11,439584.13,1,"Department for Environment, Food and Rural Affairs"
Asset Management and Capital Planning,4,3324.96,1,South Gloucestershire Council
"Asset Management, Midlands Capital WiP, Incident Management",1,143730.68,1,"Department for Environment, Food and Rural Affairs"
Asset Protection Agency,6,273508.06,1,HM Treasury
Asset sale,12,6406704.66,1,"Department for Digital, Culture, Media and Sport"
Assets in the Course of Construction,3,368308.83,1,Ministry of Defence
Assets under construction,1,270000.0,1,Ministry of Defence
Assisted Technology,8,342132.91,1,Isle of Wight NHS Trust
Assoc Director Learning Disab,1,1.0,1,Coventry and Warwickshire Partnership NHS Trust
Assoc. Director Of Facilities,3,144472.8,1,The Pennine Acute Hospitals NHS Trust
Associate Director Of Im&T,16,1993164.76,1,The Pennine Acute Hospitals NHS Trust
Associate Finance Director Management,1,101.44,1,Shropshire Community Health NHS Trust
Assurance & Resilience,1,21361.8,1,Ministry of Defence
Asthma Nursing,48,17991.08,1,Shropshire Community Health NHS Trust
Asylum Services,60,20385117.3,1,Home Office
Asylum Support,441,86017532.35,1,Home Office
Athlete Development,1,33333.0,1,UK Sport
Athlete Medical Scheme,5,1962054.32,1,UK Sport
Attorney General's Office,43,1163946.82,1,Government Legal Department
Audiology,66,143848.26,1,Coventry and Warwickshire Partnership NHS Trust
Audiology (Rochdale),1,35846.82,1,The Pennine Acute Hospitals NHS Trust
Audiology Childrens Support Services,29,42378.5,1,Shropshire Community Health NHS Trust
Audit,16,797153.0,3,Cabinet Office
Audit & Assurance Unit,2,253466.83,1,Cabinet Office
